keyword,word,reading,parts_of_speech,english,jisho_link
english,英語,えいご,Noun; No-adjective,English (language),https://jisho.org/word/英語
area,辺,へん,Noun,area; vicinity; region,https://jisho.org/word/辺
book,本,ほん,Noun,book; volume; script,https://jisho.org/word/本
business,業務,ぎょうむ,Noun; No-adjective,business; affairs; duties; work; procedure; task; action; function; (business) operations; operational,https://jisho.org/word/業務
run,走る,はしる,Godan verb with ru ending; intransitive verb,to run,https://jisho.org/word/走る
day,当日,とうじつ,Adverbial noun; Temporal noun,"day in question; appointed day; that very day; the day (of issue, publication, etc.)",https://jisho.org/word/当日
hand,手,て,Noun,hand; arm,https://jisho.org/word/手
在る,在る,ある,Godan verb with ru ending (irregular verb); intransitive verb,to be; to exist; to live,https://jisho.org/word/在る
失礼,失礼,しつれい,Noun; Suru verb; Na-adjective,discourtesy; impoliteness,https://jisho.org/word/失礼
前,前,ぜん,Noun - used as a prefix,"the last (i.e. immediately preceding) (e.g. ""the last mayor""); previous; one-time; former",https://jisho.org/word/前
話,話,はなし,Noun,talk; speech; chat; conversation,https://jisho.org/word/話
食べる,食べる,たべる,Ichidan verb; Transitive verb,to eat,https://jisho.org/word/食べる
hello,今日は,こんにちは,,hello; good day; good afternoon,https://jisho.org/word/今日は
man,男性,だんせい,Noun; No-adjective,man; male,https://jisho.org/word/男性
house,家,いえ,Noun,house; residence; dwelling,https://jisho.org/word/家
